"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"1225","0","FOLLOWS"
,,"0","1227","FOLLOWS"
,,"1228","0","FOLLOWS"
,,"0","1229","FOLLOWS"
,,"1233","0","FOLLOWS"
,,"0","1236","FOLLOWS"
,,"1237","0","FOLLOWS"
,,"0","1240","FOLLOWS"
,,"1241","0","FOLLOWS"
,,"1242","0","FOLLOWS"
,,"0","1243","FOLLOWS"
,,"0","1250","FOLLOWS"
,,"1251","0","FOLLOWS"
,,"0","1252","FOLLOWS"
,,"1253","0","FOLLOWS"
,,"1260","0","FOLLOWS"
,,"0","1259","FOLLOWS"
,,"0","1262","FOLLOWS"
,,"1264","0","FOLLOWS"
,,"1267","0","FOLLOWS"
,,"0","1266","FOLLOWS"
,,"0","1272","FOLLOWS"
,,"1271","0","FOLLOWS"
,,"1274","0","FOLLOWS"
,,"0","1273","FOLLOWS"
,,"0","1277","FOLLOWS"
,,"0","1282","FOLLOWS"
,,"1281","0","FOLLOWS"
,,"0","1285","FOLLOWS"
,,"1284","0","FOLLOWS"
,,"0","1286","FOLLOWS"
,,"1288","0","FOLLOWS"
,,"0","1290","FOLLOWS"
,,"1291","0","FOLLOWS"
,,"0","1294","FOLLOWS"
,,"1293","0","FOLLOWS"
,,"0","1296","FOLLOWS"
,,"1297","0","FOLLOWS"
,,"1302","0","FOLLOWS"
,,"0","1303","FOLLOWS"
,,"0","1306","FOLLOWS"
,,"1307","0","FOLLOWS"
,,"1310","0","FOLLOWS"
,,"0","1309","FOLLOWS"
,,"0","1312","FOLLOWS"
,,"1314","0","FOLLOWS"
,,"0","1318","FOLLOWS"
,,"1319","0","FOLLOWS"
,,"0","1322","FOLLOWS"
,,"1323","0","FOLLOWS"
,,"1328","0","FOLLOWS"
,,"0","1327","FOLLOWS"
,,"1332","0","FOLLOWS"
,,"0","1331","FOLLOWS"
,,"1333","0","FOLLOWS"
,,"0","1335","FOLLOWS"
,,"1337","0","FOLLOWS"
,,"0","1338","FOLLOWS"
,,"0","1342","FOLLOWS"
,,"1343","0","FOLLOWS"
,,"0","1346","FOLLOWS"
,,"1347","0","FOLLOWS"
,,"1351","0","FOLLOWS"
,,"0","1352","FOLLOWS"
,,"1355","0","FOLLOWS"
,,"0","1357","FOLLOWS"
